date,price,total_volume,market_cap,coin_name
2019-01-02,0.0213319677654782,1990474.8282045708,0.0,crypto-com-chain
2019-01-03,0.021255385095168,1968805.3797264416,0.0,crypto-com-chain
2019-01-04,0.0212993777594366,2399313.371539494,0.0,crypto-com-chain
2019-01-05,0.0214616949840386,2393237.7836393607,0.0,crypto-com-chain
2019-01-06,0.0186540732828943,1833582.717193276,0.0,crypto-com-chain
2019-01-07,0.0173006411848174,1311572.6170972516,0.0,crypto-com-chain
2019-01-08,0.0217238096693261,1911719.3836276687,0.0,crypto-com-chain
2019-01-09,0.0195185426154847,768092.1231454483,0.0,crypto-com-chain
2019-01-10,0.0193475143133353,1134793.0751595632,0.0,crypto-com-chain
2019-01-11,0.0174598387547458,1043011.1129043708,0.0,crypto-com-chain
2019-01-12,0.0175232938823936,265071.8035218652,0.0,crypto-com-chain
2019-01-13,0.0172535009197166,209947.87936209489,0.0,crypto-com-chain
2019-01-14,0.016279078914595,821321.3309851757,0.0,crypto-com-chain
2019-01-15,0.0156449948734423,3197029.6837309585,0.0,crypto-com-chain
2019-01-16,0.0151906648085606,4813194.343168311,0.0,crypto-com-chain
2019-01-17,0.0148807344172376,1395052.6525035803,0.0,crypto-com-chain
2019-01-18,0.0151229858294983,1064086.1493499794,0.0,crypto-com-chain
2019-01-19,0.0146796917408767,1046505.745933192,0.0,crypto-com-chain
2019-01-20,0.0147257056568182,642334.1077364933,0.0,crypto-com-chain
2019-01-21,0.0142194526810149,1138460.3033430837,0.0,crypto-com-chain
2019-01-22,0.0137465815789611,641519.40475864,0.0,crypto-com-chain
2019-01-23,0.0133192710924043,596699.1161291708,0.0,crypto-com-chain
2019-01-24,0.0133029870141412,899554.8440874332,0.0,crypto-com-chain
2019-01-25,0.013055326843673,791487.1564253942,0.0,crypto-com-chain
2019-01-26,0.0132826794214482,1118802.4389129288,0.0,crypto-com-chain
2019-01-27,0.0137343885774846,830122.0563816458,0.0,crypto-com-chain
2019-01-28,0.0136148093464537,749662.4660555022,0.0,crypto-com-chain
2019-01-29,0.0123291812844504,589932.584105402,0.0,crypto-com-chain
2019-01-30,0.0127667768959585,605619.4036962216,0.0,crypto-com-chain
2019-01-31,0.0132366096091516,991531.2152165244,0.0,crypto-com-chain
2019-02-01,0.0130720615915754,523770.7469471884,0.0,crypto-com-chain
2019-02-02,0.0125259894982924,1089780.134518406,0.0,crypto-com-chain
2019-02-03,0.0125716266740934,781480.191319403,0.0,crypto-com-chain
2019-02-04,0.0127577130587077,804997.7357140059,0.0,crypto-com-chain
2019-02-05,0.0125491814365242,1120282.8205051103,0.0,crypto-com-chain
2019-02-06,0.0124741945404743,1172415.4535399664,0.0,crypto-com-chain
2019-02-07,0.0122644257811184,1060042.59660595,0.0,crypto-com-chain
2019-02-08,0.0121195976696209,1073152.498254025,0.0,crypto-com-chain
2019-02-09,0.0130086019858603,913097.2858297458,0.0,crypto-com-chain
2019-02-10,0.0129679448615464,696352.8520664526,0.0,crypto-com-chain
2019-02-11,0.0128537432390219,1357109.7201924983,0.0,crypto-com-chain
2019-02-12,0.0125847062583861,1172026.966085305,0.0,crypto-com-chain
2019-02-13,0.012505763874771,1060166.7207977718,0.0,crypto-com-chain
2019-02-14,0.0123630843189399,1031802.3738993952,0.0,crypto-com-chain
2019-02-15,0.0123293838844043,569721.4259950593,0.0,crypto-com-chain
2019-02-16,0.0124832117011689,1307045.642930891,0.0,crypto-com-chain
2019-02-17,0.0124149521983219,1202126.9244274118,0.0,crypto-com-chain
2019-02-18,0.0124871837765579,1229612.8000810323,0.0,crypto-com-chain
2019-02-19,0.0130188100948639,1544417.5231356006,0.0,crypto-com-chain
2019-02-20,0.0130648603647878,899305.3580965975,0.0,crypto-com-chain
2019-02-21,0.0133013529003834,1027509.4086219328,0.0,crypto-com-chain
2019-02-22,0.0130206976618238,719251.1919389658,0.0,crypto-com-chain
2019-02-23,0.0129798124145994,964057.1757719946,0.0,crypto-com-chain
2019-02-24,0.0129994176713812,1428650.3962120214,0.0,crypto-com-chain
2019-02-25,0.0124130413127307,1456465.3136580817,0.0,crypto-com-chain
2019-02-26,0.0126490919780271,1256368.5847235247,0.0,crypto-com-chain
2019-02-27,0.0127766951463373,1120525.6324175757,0.0,crypto-com-chain
2019-02-28,0.0125025201986697,1332320.8885722952,0.0,crypto-com-chain
2019-03-01,0.0126293627436387,1149353.960423895,0.0,crypto-com-chain
2019-03-02,0.0125615711086374,681596.1507865606,0.0,crypto-com-chain
2019-03-03,0.0125074132549134,466265.9399756022,0.0,crypto-com-chain
2019-03-04,0.012610720068372,581454.9047397269,0.0,crypto-com-chain
2019-03-05,0.0124520104815485,475320.2778640165,0.0,crypto-com-chain
2019-03-06,0.0131867337792622,853239.6087377246,0.0,crypto-com-chain
2019-03-07,0.013116344886104,696214.9470319981,0.0,crypto-com-chain
2019-03-08,0.0141644649612185,840799.47612274,0.0,crypto-com-chain
2019-03-09,0.0191504835594384,205687.99154432592,0.0,crypto-com-chain
2019-03-10,0.0206905592446163,78527.08715152837,0.0,crypto-com-chain
2019-03-11,0.0207957843129792,41754.3240782895,0.0,crypto-com-chain
2019-03-12,0.0238595850931802,49243.41418932055,0.0,crypto-com-chain
2019-03-13,0.0531684514636142,339888.75014700176,0.0,crypto-com-chain
2019-03-14,0.0574672186194855,160242.27818979722,0.0,crypto-com-chain
2019-03-15,0.059454946612624,84164.22515199607,0.0,crypto-com-chain
2019-03-16,0.1029156666317465,17200871.821341228,0.0,crypto-com-chain
2019-03-17,0.0839344239551931,5337176.553925723,336514727.3713772,crypto-com-chain
2019-03-18,0.0671377441937468,29240975.966442887,271011992.05063164,crypto-com-chain
2019-03-19,0.0681829230228441,1950970.286346781,277090417.7640699,crypto-com-chain
2019-03-20,0.0720719662423676,558975.4168978492,294786456.4942623,crypto-com-chain
2019-03-21,0.0713176826928054,511072.3467715269,293723201.340368,crypto-com-chain
2019-03-22,0.0675803297243699,202983.06496761588,279651733.45952994,crypto-com-chain
2019-03-23,0.0672029037635607,183010.2423443113,280473534.6907638,crypto-com-chain
2019-03-24,0.0668714004498455,149255.6090282966,280920951.6614518,crypto-com-chain
2019-03-25,0.0636476837214463,92850.69305036867,269124430.5270772,crypto-com-chain
2019-03-26,0.0535843118460603,565233.7163391997,228045416.6490519,crypto-com-chain
2019-03-27,0.0497616509493413,226234.85533964587,213141126.9558373,crypto-com-chain
2019-03-28,0.0539953523290681,266372.10131533653,232743037.03368863,crypto-com-chain
2019-03-29,0.0490103902009888,196082.2075454152,212600127.74574676,crypto-com-chain
2019-03-30,0.0466632602698729,247650.37603519845,203834619.6250908,crypto-com-chain
2019-03-31,0.0467234792059457,164014.2040170265,205867822.69544488,crypto-com-chain
2019-04-01,0.0443303342643617,168056.84063762092,195952403.9354327,crypto-com-chain
2019-04-02,0.0441594485059162,285195.77025136404,196384312.4216376,crypto-com-chain
2019-04-03,0.0500895327002317,542557.4386812239,225152781.64519784,crypto-com-chain
2019-04-04,0.0475288355098183,354523.0361867898,214566840.74229547,crypto-com-chain
2019-04-05,0.0458033912803723,294721.94849644566,207565101.10476288,crypto-com-chain
2019-04-06,0.0500824417452749,872487.9626558883,228131263.3201984,crypto-com-chain
2019-04-07,0.0480702769968966,177580.2949006564,220422120.86859465,crypto-com-chain
2019-04-08,0.0533093706272651,229442.19750484312,244979478.68404785,crypto-com-chain
2019-04-09,0.0566159212522473,398496.9967089885,260851914.2639452,crypto-com-chain
2019-04-10,0.0553164130033921,291970.4901660682,254967065.29545516,crypto-com-chain
2019-04-11,0.0696831571428484,1732579.3908093818,327110483.94531554,crypto-com-chain
2019-04-12,0.0858777059670577,2790609.2684582598,406174674.6230254,crypto-com-chain
2019-04-13,0.0779086815156323,2697594.462048109,370251453.35138327,crypto-com-chain
2019-04-14,0.0846052713189457,2367200.0340777747,404005603.4978378,crypto-com-chain
2019-04-15,0.0838168125688302,986213.5982473524,417040392.7816026,crypto-com-chain
2019-04-16,0.0784540699247584,712392.5286007874,393061837.93869656,crypto-com-chain
2019-04-17,0.0851580036274985,981333.2106937956,427626676.7619976,crypto-com-chain
2019-04-18,0.0842560150826924,664962.2652786755,425512517.3997535,crypto-com-chain
2019-04-19,0.0855276685087891,669926.5247989211,434371784.49459887,crypto-com-chain
2019-04-20,0.0837754262444257,475232.17970757687,427083335.174052,crypto-com-chain
2019-04-21,0.086115381888604,684951.9267885642,442064999.7535959,crypto-com-chain
2019-04-22,0.0830792017620551,603511.364576396,426431733.2384287,crypto-com-chain
